Info;Testing script B;;;;;;;;
Duration;2;insert ;1;;;;poèet;suma èasov;priemer
Duration;8;remove ;17;;;;;;
Duration;10;remove ;16;;;;;;
Duration;7;insert ;17;;;;;;
Duration;6;insert ;18;;;;;;
Duration;7;insert ;19;;;;;;
Duration;16;remove ;18;;;;;;
Duration;8;remove ;17;;;;;;
Duration;8;remove ;16;;;;;;
Duration;8;remove ;15;;;;;;
Duration;6;insert ;16;;;;;;
Duration;13;remove ;15;;;;;;
Duration;13;remove ;14;;;;;;
Duration;6;insert ;15;;;;;;
Duration;6;insert ;16;;;;;;
Duration;4;tryFind ;16;;;;;;
Duration;13;remove ;15;;;;;;
Duration;7;insert ;16;;;;;;
Duration;12;remove ;15;;;;;;
Duration;15;remove ;14;;;;;;
Duration;12;remove ;13;;;;;;
Duration;6;insert ;14;;;;;;
Duration;6;insert ;15;;;;;;
Duration;6;insert ;16;;;;;;
Duration;6;insert ;17;;;;;;
Duration;8;remove ;16;;;;;;
Duration;4;insert ;17;;;;;;
Duration;4;tryFind ;17;;;;;;
Duration;6;insert ;18;;;;;;
Duration;16;remove ;17;;;;;;
Duration;16;remove ;16;;;;;;
Duration;4;tryFind ;16;;;;;;
Duration;6;insert ;17;;;;;;
Duration;16;remove ;16;;;;;;
Duration;6;insert ;17;;;;;;
Duration;12;remove ;16;;;;;;
Duration;12;remove ;15;;;;;;
Duration;7;remove ;14;;;;;;
Duration;6;insert ;15;;;;;;
Duration;10;remove ;14;;;;;;
Duration;7;remove ;13;;;;;;
Duration;4;tryFind ;13;;;;;;
Duration;6;insert ;14;;;;;;
Duration;6;insert ;15;;;;;;
Duration;10;insert ;16;;;;;;
Duration;8;remove ;15;;;;;;
Duration;9;remove ;14;;;;;;
Duration;9;remove ;13;;;;;;
Duration;8;remove ;12;;;;;;
Duration;12;remove ;11;;;;;;
Duration;6;insert ;12;;;;;;
Duration;6;insert ;13;;;;;;
Duration;9;remove ;12;;;;;;
Duration;7;insert ;13;;;;;;
Duration;12;remove ;12;;;;;;
Duration;13;remove ;11;;;;;;
Duration;4;tryFind ;11;;;;;;
Duration;5;insert ;12;;;;;;
Duration;6;insert ;13;;;;;;
Duration;6;insert ;14;;;;;;
Duration;9;remove ;13;;;;;;
Duration;8;remove ;12;;;;;;
Duration;7;insert ;13;;;;;;
Duration;4;tryFind ;13;;;;;;
Duration;8;remove ;12;;;;;;
Duration;12;remove ;11;;;;;;
Duration;4;tryFind ;11;;;;;;
Duration;4;tryFind ;11;;;;;;
Duration;6;insert ;12;;;;;;
Duration;12;remove ;11;;;;;;
Duration;5;insert ;12;;;;;;
Duration;12;remove ;11;;;;;;
Duration;6;insert ;12;;;;;;
Duration;4;tryFind ;12;;;;;;
Duration;4;tryFind ;12;;;;;;
Duration;6;insert ;13;;;;;;
Duration;6;insert ;14;;;;;;
Duration;12;remove ;13;;;;;;
Duration;3;insert ;14;;;;;;
Duration;11;remove ;13;;;;;;
Duration;10;remove ;12;;;;;;
Duration;4;tryFind ;12;;;;;;
Duration;12;remove ;11;;;;;;
Duration;4;tryFind ;11;;;;;;
Duration;11;remove ;10;;;;;;
Duration;6;insert ;11;;;;;;
Duration;4;tryFind ;11;;;;;;
Duration;9;remove ;10;;;;;;
Duration;7;insert ;11;;;;;;
Duration;6;insert ;12;;;;;;
Duration;9;remove ;11;;;;;;
Duration;4;tryFind ;11;;;;;;
Duration;6;insert ;12;;;;;;
Duration;6;insert ;13;;;;;;
Duration;13;remove ;12;;;;;;
Duration;10;remove ;11;;;;;;
