Info;Testing script A;;;;;;;;
Duration;2378;tryFind ;0;;;;poèet;suma èasov;priemer
Duration;17;remove ;18;;;;;;
Duration;4;tryFind ;18;;;;;;
Duration;5;tryFind ;18;;;;;;
Duration;5;tryFind ;18;;;;;;
Duration;4;tryFind ;18;;;;;;
Duration;7;insert ;19;;;;;;
Duration;5;tryFind ;19;;;;;;
Duration;6;tryFind ;19;;;;;;
Duration;5;tryFind ;19;;;;;;
Duration;5;tryFind ;19;;;;;;
Duration;5;tryFind ;19;;;;;;
Duration;6;insert ;20;;;;;;
Duration;6;insert ;21;;;;;;
Duration;10;tryFind ;21;;;;;;
Duration;12;insert ;22;;;;;;
Duration;11;tryFind ;22;;;;;;
Duration;24;remove ;21;;;;;;
Duration;13;remove ;20;;;;;;
Duration;18;remove ;19;;;;;;
Duration;6;insert ;20;;;;;;
Duration;4;tryFind ;20;;;;;;
Duration;4;tryFind ;20;;;;;;
Duration;4;tryFind ;20;;;;;;
Duration;5;tryFind ;20;;;;;;
Duration;10;remove ;19;;;;;;
Duration;5;tryFind ;19;;;;;;
Duration;5;tryFind ;19;;;;;;
Duration;5;tryFind ;19;;;;;;
Duration;8;remove ;18;;;;;;
Duration;9;tryFind ;18;;;;;;
Duration;48;tryFind ;18;;;;;;
Duration;4;tryFind ;18;;;;;;
Duration;7;insert ;19;;;;;;
Duration;15;remove ;18;;;;;;
Duration;4;tryFind ;18;;;;;;
Duration;5;tryFind ;18;;;;;;
Duration;5;tryFind ;18;;;;;;
Duration;7;insert ;19;;;;;;
Duration;6;tryFind ;19;;;;;;
Duration;6;tryFind ;19;;;;;;
Duration;6;insert ;20;;;;;;
Duration;6;tryFind ;20;;;;;;
Duration;5;tryFind ;20;;;;;;
Duration;6;insert ;21;;;;;;
Duration;7;tryFind ;21;;;;;;
Duration;19;remove ;20;;;;;;
Duration;7;insert ;21;;;;;;
Duration;6;insert ;22;;;;;;
Duration;7;insert ;23;;;;;;
Duration;6;insert ;24;;;;;;
Duration;21;remove ;23;;;;;;
Duration;17;remove ;22;;;;;;
Duration;7;insert ;23;;;;;;
Duration;4;tryFind ;23;;;;;;
Duration;7;tryFind ;23;;;;;;
Duration;44;remove ;22;;;;;;
Duration;6;insert ;23;;;;;;
Duration;17;remove ;22;;;;;;
Duration;6;insert ;23;;;;;;
Duration;5;tryFind ;23;;;;;;
Duration;4;tryFind ;23;;;;;;
Duration;5;tryFind ;23;;;;;;
Duration;5;tryFind ;23;;;;;;
Duration;10;remove ;22;;;;;;
Duration;7;insert ;23;;;;;;
Duration;8;insert ;24;;;;;;
Duration;5;tryFind ;24;;;;;;
Duration;5;tryFind ;24;;;;;;
Duration;5;tryFind ;24;;;;;;
Duration;5;tryFind ;24;;;;;;
Duration;21;tryFind ;24;;;;;;
Duration;5;tryFind ;24;;;;;;
Duration;35;remove ;23;;;;;;
Duration;5;tryFind ;23;;;;;;
Duration;5;tryFind ;23;;;;;;
Duration;6;insert ;24;;;;;;
Duration;5;tryFind ;24;;;;;;
Duration;4;tryFind ;24;;;;;;
Duration;5;tryFind ;24;;;;;;
Duration;5;tryFind ;24;;;;;;
Duration;6;tryFind ;24;;;;;;
Duration;16;remove ;23;;;;;;
Duration;5;tryFind ;23;;;;;;
