Info;Testing script B;;;;;;;;
Duration;1;tryFind ;0;;;;poèet;suma èasov;priemer
Duration;4;tryFind ;9;;;;;;
Duration;9;insert ;10;;;;;;
Duration;25;remove ;9;;;;;;
Duration;7;insert ;10;;;;;;
Duration;13;remove ;9;;;;;;
Duration;7;insert ;10;;;;;;
Duration;33;remove ;9;;;;;;
Duration;8;insert ;10;;;;;;
Duration;9;insert ;11;;;;;;
Duration;10;insert ;12;;;;;;
Duration;17;remove ;11;;;;;;
Duration;12;insert ;12;;;;;;
Duration;18;remove ;11;;;;;;
Duration;10;insert ;12;;;;;;
Duration;17;remove ;11;;;;;;
Duration;6;tryFind ;11;;;;;;
Duration;8;insert ;12;;;;;;
Duration;18;remove ;11;;;;;;
Duration;9;insert ;12;;;;;;
Duration;6;tryFind ;12;;;;;;
Duration;16;remove ;11;;;;;;
Duration;10;insert ;12;;;;;;
Duration;34;remove ;11;;;;;;
Duration;12;remove ;10;;;;;;
Duration;9;insert ;11;;;;;;
Duration;7;insert ;12;;;;;;
Duration;32;remove ;11;;;;;;
Duration;33;remove ;10;;;;;;
Duration;12;remove ;9;;;;;;
Duration;9;insert ;10;;;;;;
Duration;13;remove ;9;;;;;;
Duration;5;tryFind ;9;;;;;;
Duration;4;tryFind ;9;;;;;;
Duration;15;remove ;8;;;;;;
Duration;16;remove ;7;;;;;;
Duration;4;tryFind ;7;;;;;;
Duration;7;insert ;8;;;;;;
Duration;15;remove ;7;;;;;;
Duration;8;insert ;8;;;;;;
Duration;31;remove ;7;;;;;;
Duration;13;remove ;6;;;;;;
Duration;3;tryFind ;6;;;;;;
Duration;21;remove ;5;;;;;;
Duration;24;remove ;4;;;;;;
Duration;7;insert ;5;;;;;;
Duration;8;insert ;6;;;;;;
Duration;5;tryFind ;6;;;;;;
Duration;14;remove ;5;;;;;;
Duration;11;remove ;4;;;;;;
Duration;6;insert ;5;;;;;;
Duration;7;insert ;6;;;;;;
Duration;10;insert ;7;;;;;;
Duration;4;tryFind ;7;;;;;;
Duration;6;tryFind ;7;;;;;;
Duration;7;insert ;8;;;;;;
Duration;8;insert ;9;;;;;;
Duration;15;remove ;8;;;;;;
Duration;8;insert ;9;;;;;;
Duration;8;insert ;10;;;;;;
Duration;6;tryFind ;10;;;;;;
Duration;15;remove ;9;;;;;;
Duration;31;remove ;8;;;;;;
Duration;8;insert ;9;;;;;;
Duration;8;insert ;10;;;;;;
Duration;9;insert ;11;;;;;;
Duration;15;remove ;10;;;;;;
Duration;19;remove ;9;;;;;;
Duration;9;insert ;10;;;;;;
Duration;11;insert ;11;;;;;;
Duration;20;remove ;10;;;;;;
Duration;6;tryFind ;10;;;;;;
Duration;14;remove ;9;;;;;;
Duration;16;remove ;8;;;;;;
Duration;9;insert ;9;;;;;;
Duration;16;remove ;8;;;;;;
Duration;17;remove ;7;;;;;;
Duration;7;tryFind ;7;;;;;;
Duration;7;insert ;8;;;;;;
Duration;8;insert ;9;;;;;;
Duration;31;remove ;8;;;;;;
Duration;10;remove ;7;;;;;;
Duration;29;remove ;6;;;;;;
Duration;3;tryFind ;6;;;;;;
Duration;29;remove ;5;;;;;;
Duration;23;remove ;4;;;;;;
Duration;3;tryFind ;4;;;;;;
Duration;8;insert ;5;;;;;;
Duration;31;remove ;4;;;;;;
Duration;5;insert ;5;;;;;;
Duration;7;insert ;6;;;;;;
Duration;6;insert ;7;;;;;;
Duration;14;remove ;6;;;;;;
Duration;7;insert ;7;;;;;;
Duration;4;tryFind ;7;;;;;;
Duration;8;insert ;8;;;;;;
Duration;28;remove ;7;;;;;;
Duration;13;remove ;6;;;;;;
Duration;12;remove ;5;;;;;;
Duration;10;insert ;6;;;;;;
Duration;10;remove ;5;;;;;;
Duration;17;remove ;4;;;;;;
Duration;15;remove ;3;;;;;;
Duration;13;remove ;2;;;;;;
Duration;6;insert ;3;;;;;;
Duration;4;tryFind ;3;;;;;;
Duration;10;remove ;2;;;;;;
Duration;14;insert ;3;;;;;;
Duration;11;remove ;2;;;;;;
Duration;3;tryFind ;2;;;;;;
Duration;5;insert ;3;;;;;;
Duration;6;insert ;4;;;;;;
Duration;6;insert ;5;;;;;;
Duration;15;remove ;4;;;;;;
Duration;6;insert ;5;;;;;;
Duration;4;tryFind ;5;;;;;;
Duration;16;remove ;4;;;;;;
Duration;3;tryFind ;4;;;;;;
Duration;15;remove ;3;;;;;;
Duration;6;insert ;4;;;;;;
Duration;6;insert ;5;;;;;;
Duration;13;remove ;4;;;;;;
Duration;4;tryFind ;4;;;;;;
Duration;12;remove ;3;;;;;;
Duration;4;tryFind ;3;;;;;;
Duration;13;remove ;2;;;;;;
Duration;2;tryFind ;2;;;;;;
Duration;12;remove ;1;;;;;;
Duration;8;remove ;0;;;;;;
Duration;2;insert ;1;;;;;;
Duration;7;insert ;2;;;;;;
Duration;6;insert ;3;;;;;;
Duration;7;insert ;4;;;;;;
Duration;14;remove ;3;;;;;;
Duration;4;tryFind ;3;;;;;;
Duration;7;insert ;4;;;;;;
Duration;60;insert ;5;;;;;;
Duration;8;insert ;6;;;;;;
Duration;8;insert ;7;;;;;;
Duration;6;tryFind ;7;;;;;;
Duration;6;tryFind ;7;;;;;;
Duration;15;remove ;6;;;;;;
Duration;15;remove ;5;;;;;;
Duration;6;insert ;6;;;;;;
Duration;16;remove ;5;;;;;;
Duration;12;remove ;4;;;;;;
Duration;12;remove ;3;;;;;;
Duration;2;tryFind ;3;;;;;;
Duration;2;tryFind ;3;;;;;;
Duration;16;remove ;2;;;;;;
Duration;5;insert ;3;;;;;;
Duration;3;tryFind ;3;;;;;;
Duration;12;remove ;2;;;;;;
Duration;10;remove ;1;;;;;;
Duration;5;insert ;2;;;;;;
Duration;3;tryFind ;2;;;;;;
Duration;10;remove ;1;;;;;;
Duration;5;insert ;2;;;;;;
Duration;11;remove ;1;;;;;;
Duration;5;insert ;2;;;;;;
Duration;3;tryFind ;2;;;;;;
Duration;12;remove ;1;;;;;;
Duration;7;remove ;0;;;;;;
Duration;2;insert ;1;;;;;;
Duration;5;insert ;2;;;;;;
Duration;2;tryFind ;2;;;;;;
Duration;12;remove ;1;;;;;;
